scooterid,battery_level,id,model,nest_id,latitude,longitude,time,city
113,62,9d16f9bd-b48b-4ce7-8478-84cd6d286d8f,rf,NA,35.99537333,-78.89455333,9/10/19 23:00,Duke Campus
114,81,ff39c879-98f3-4d61-a2cd-6bba66cfb8a3,rf,NA,35.99144667,-78.89455333,9/10/19 23:00,Duke Campus
115,61,9450741b-b579-4cea-a338-892d0ff8c666,rf,NA,35.97756167,-78.902855,9/10/19 23:00,Duke Campus
116,82,e0f8c79c-a45e-4b87-9f5a-ceeef448a76e,rf,NA,35.97731,-78.90042167,9/10/19 23:00,Duke Campus
117,83,99f53fa6-4e59-4ab7-bb7b-b2b471e7bf0d,rf,NA,35.97731,-78.90041333,9/10/19 23:00,Duke Campus
118,70,4b96dabe-ba9e-468a-a1a3-5597ff6cb89a,rf,NA,35.97544833,-78.90205333,9/10/19 23:00,Duke Campus
119,73,decfe75f-b21b-49fa-8674-d8540074cf5b,rf,NA,35.976875,-78.900505,9/10/19 23:00,Duke Campus
120,54,23e48319-5473-490b-914c-5fe4e1707eda,rf,NA,35.97937,-78.89835333,9/10/19 23:00,Duke Campus
121,53,a99e3f50-d284-4c9c-9ee0-025b5ee618e2,rf,NA,35.97546833,-78.90173333,9/10/19 23:00,Duke Campus
122,55,d7321460-deaa-45d4-abae-78c4a91f3c09,rf,NA,35.97564667,-78.899925,9/10/19 23:00,Duke Campus
123,76,7488dfaa-d32a-4dff-9e30-9909c2b81b84,rf,NA,35.97733,-78.89719333,9/10/19 23:00,Duke Campus
124,56,190183a4-10bb-4988-a902-bdbeda343e5e,rf,NA,35.97332333,-78.90052833,9/10/19 23:00,Duke Campus
125,42,6d8eacf0-5706-44de-92e8-5118f2f2e310,rf,NA,35.97712,-78.896355,9/10/19 23:00,Duke Campus
126,60,0fc8635c-f5ed-4e40-a781-88858056b671,rf,NA,35.97681833,-78.896385,9/10/19 23:00,Duke Campus
127,30,1c472424-4874-4b70-b85d-677a3a693c93,rf,NA,35.96609833,-78.90804333,9/10/19 23:00,Duke Campus
128,65,ceb1b718-676d-49bc-9847-0c07f485a943,rf,NA,35.97257167,-78.89896333,9/10/19 23:00,Duke Campus
129,38,bb00eed0-1bde-4b52-ad87-f1fd5087369f,rf,NA,35.97254167,-78.89891,9/10/19 23:00,Duke Campus
130,46,79345b23-3a3d-47e3-bdeb-e1a2ee3489de,rf,NA,35.97550167,-78.894715,9/10/19 23:00,Duke Campus
131,63,260dbe90-1a8b-41d6-965a-8014bc615606,rf,NA,35.97521167,-78.89427167,9/10/19 23:00,Duke Campus
132,99,5d9e1f0c-cb64-4d60-bc30-e0ee55ba9fff,rf,NA,35.97108833,-78.89685,9/10/19 23:00,Duke Campus
133,97,a932de6f-fd39-4b9f-a001-91d9cfe66786,rf,NA,35.97118,-78.896675,9/10/19 23:00,Duke Campus
134,98,cbc6ea10-9e9e-40a8-bafb-4ec8536c5940,rf,NA,35.97116833,-78.89666667,9/10/19 23:00,Duke Campus
135,97,59ebf4dc-724d-4554-b099-fe95f4998f5c,rf,NA,35.97116167,-78.89666,9/10/19 23:00,Duke Campus
136,70,9433cbf1-61c3-4e98-b8eb-0f62886296fb,rf,NA,35.97377833,-78.893235,9/10/19 23:00,Duke Campus
137,52,f204dbc4-0d62-41d6-b6f4-05b557360189,rf,NA,35.969795,-78.89688167,9/10/19 23:00,Duke Campus
138,99,cb857096-44cd-4372-bb34-cec34662c12e,rf,NA,35.97445333,-78.88178333,9/10/19 23:00,Duke Campus
139,46,a32c39e5-f1fd-4597-b58c-1ebe5184fa65,rf,NA,35.97447167,-78.88176667,9/10/19 23:00,Duke Campus
140,61,1057687b-b260-4bc3-8fb0-0576d1539d68,rf,NA,35.97221,-78.88216333,9/10/19 23:00,Duke Campus
141,55,0e101479-c441-4e73-9a26-a0e4e86f1e2d,rf,NA,35.98339,-78.87290167,9/10/19 23:00,Duke Campus
142,100,568deb7d-9407-41af-ba12-5d519c1aca46,rf,2a144892-4e5a-4bf7-a677-174078500b15,36.00274667,-78.94213833,9/11/19 04:00,Duke Campus
143,99,a2bda860-62f7-4428-b5d6-e0dc5ded9c11,rf,2a144892-4e5a-4bf7-a677-174078500b15,36.00277333,-78.94216167,9/11/19 04:00,Duke Campus
144,99,2e2fdfed-16b2-4745-972e-8de7ac9544fb,rf,2a144892-4e5a-4bf7-a677-174078500b15,36.00278167,-78.94214667,9/11/19 04:00,Duke Campus
145,28,9892b88d-d454-491b-a304-47ed2e2feb6c,rf,NA,35.999405,-78.93882,9/11/19 04:00,Duke Campus
146,75,22341b1e-cd09-484a-a107-6f7320f165f3,rf,NA,35.99940167,-78.93879667,9/11/19 04:00,Duke Campus
147,73,417f0de6-0b26-415e-8e61-23c69fc64091,rf,NA,36.00096167,-78.94532,9/11/19 04:00,Duke Campus
148,79,ca6d2359-f130-48d6-9b60-5abf43bb47ff,rf,NA,36.00115167,-78.93685833,9/11/19 04:00,Duke Campus
149,100,e4cb8789-bbba-4707-8689-075b8cd6d2cf,rf,d6b9161b-2f6e-43a3-9dd7-c0252be16508,35.998645,-78.94531333,9/11/19 04:00,Duke Campus
150,100,af6e23f1-45a9-44a2-9f11-e0c94ee5102e,rf,d6b9161b-2f6e-43a3-9dd7-c0252be16508,35.99864167,-78.94534333,9/11/19 04:00,Duke Campus
151,98,346f45b9-fc4d-493a-a6bb-583c63719d47,rf,d6b9161b-2f6e-43a3-9dd7-c0252be16508,35.99862333,-78.94534333,9/11/19 04:00,Duke Campus
152,97,df7d7c40-4116-4de4-94d9-a09e07cfacdf,rf,NA,35.99785167,-78.937385,9/11/19 04:00,Duke Campus
153,84,5cf9c3ff-a35a-4b69-9d66-d75ec2c78fcc,rf,NA,35.99971,-78.93504333,9/11/19 04:00,Duke Campus
154,64,60c430b7-6ed3-4cb2-8891-de00276e05ff,rf,NA,35.99919167,-78.93424167,9/11/19 04:00,Duke Campus
155,72,43754e60-fe10-4d78-a034-8385e49d6b9c,rf,NA,35.998775,-78.93422,9/11/19 04:00,Duke Campus
156,73,18c39419-5e1d-4dd1-a7d9-a309f020b531,rf,NA,35.996845,-78.94687667,9/11/19 04:00,Duke Campus
157,66,8f4d0ab9-f848-42c0-9ad2-117cc4d58cd9,rf,NA,35.996605,-78.94709833,9/11/19 04:00,Duke Campus
158,93,08e64177-7166-4816-96be-c38f838be6fa,rf,NA,35.99607167,-78.94673167,9/11/19 04:00,Duke Campus
159,73,bdd9a8f9-853f-4e93-98d2-1081194157d5,rf,NA,35.995845,-78.94663167,9/11/19 04:00,Duke Campus
160,82,7e2c8931-98a8-4ee3-9975-90aee97a87a9,rf,NA,35.99599,-78.94683833,9/11/19 04:00,Duke Campus
161,85,4f44bf4a-04e3-406a-b7d6-89a527bc22a9,rf,NA,35.994595,-78.938195,9/11/19 04:00,Duke Campus
162,98,a0936d11-cb4f-4dac-adef-b35d24ea0f03,rf,NA,35.99606667,-78.946975,9/11/19 04:00,Duke Campus
163,98,d57a6a77-89c0-4e2b-adad-3aebc054bbef,rf,NA,35.99604333,-78.946945,9/11/19 04:00,Duke Campus
164,94,0b642b78-986f-4b6b-9f91-1946ec63d988,rf,NA,35.99603667,-78.946975,9/11/19 04:00,Duke Campus
165,37,9fe6e5a0-9c0b-40b8-992e-7a304f5ac728,rf,NA,35.99603667,-78.946975,9/11/19 04:00,Duke Campus
166,40,302faa1a-09df-4df5-99d5-7fbab6f0e95e,rf,NA,35.996025,-78.94696,9/11/19 04:00,Duke Campus
167,79,3de3ec6a-cbfc-45ab-a585-d4b06b2c0da5,rf,NA,35.99600167,-78.94693833,9/11/19 04:00,Duke Campus
168,99,a192fea1-3466-4129-a58e-17a0e3758af6,rf,NA,35.99603333,-78.94698333,9/11/19 04:00,Duke Campus
169,54,7a5d0d1c-b04c-4fea-8f94-02d0c175ecef,rf,NA,36.00895333,-78.94245833,9/11/19 04:00,Duke Campus
170,54,c95c92cc-2f68-48b9-be13-3cfe607dee5e,rf,NA,36.00547333,-78.95126333,9/11/19 04:00,Duke Campus
171,80,812236c1-09b3-4be4-ada3-56de4f4e42c7,rf,NA,35.99515833,-78.94999667,9/11/19 04:00,Duke Campus
172,93,5a51ae4c-1c7a-4850-bd62-797d8b2f85e0,rf,NA,36.00535167,-78.952935,9/11/19 04:00,Duke Campus
173,80,c202e62a-7382-463e-b1cb-e826391dfb57,rf,NA,36.011525,-78.94609,9/11/19 04:00,Duke Campus
174,79,05680f08-85ca-4c03-b2b1-8c3cc9465aae,rf,NA,36.009045,-78.95279,9/11/19 04:00,Duke Campus
175,81,309c882c-213f-4136-8762-061e3c3974fe,rf,NA,36.01214667,-78.94906667,9/11/19 04:00,Duke Campus
176,83,6b7becc3-9887-4570-8657-ef68aef9b846,rf,NA,36.01217333,-78.94905167,9/11/19 04:00,Duke Campus
177,76,4478b0c9-d007-4111-bdd7-1819a1ff86c6,rf,NA,36.00837333,-78.927925,9/11/19 04:00,Duke Campus
178,28,766ba79a-7ace-4892-9092-a2d21ce415ce,rf,NA,36.00750667,-78.92724667,9/11/19 04:00,Duke Campus
179,49,05254d85-64dc-480a-88a4-0c16bd07712f,rf,NA,36.000695,-78.95760333,9/11/19 04:00,Duke Campus
180,27,359f319e-b865-4b7d-a1b6-7a4054471ec0,rf,NA,36.01001667,-78.92862667,9/11/19 04:00,Duke Campus
181,87,a5c3fe0f-f62d-4a99-a072-d0d7b29ada09,rf,NA,36.01380167,-78.948685,9/11/19 04:00,Duke Campus
182,92,a32e696c-8737-4c0b-94a0-539174fa04fb,rf,19a0c6fa-2de3-491d-b08e-088724373da3,36.00248667,-78.92273,9/11/19 04:00,Duke Campus
183,100,7190045d-8549-49bf-8331-b2dd9e932338,rf,19a0c6fa-2de3-491d-b08e-088724373da3,36.00253667,-78.92269167,9/11/19 04:00,Duke Campus
184,100,c8fad429-69bf-4cf0-ade1-0f78dde4e09e,rf,19a0c6fa-2de3-491d-b08e-088724373da3,36.002545,-78.92267667,9/11/19 04:00,Duke Campus
185,83,17e9e0b8-1d67-49bb-967c-2816be062758,rf,NA,36.00540167,-78.92315667,9/11/19 04:00,Duke Campus
186,87,588e77bb-655e-4915-9bf6-0a5b018eec7d,rf,NA,36.00261,-78.92192,9/11/19 04:00,Duke Campus
187,69,fe3f7f20-1864-4e85-a538-bde9df535fef,rf,NA,35.99677667,-78.92255333,9/11/19 04:00,Duke Campus
188,45,6ae9b59b-bc86-4774-a991-f8bdd16750a0,rf,NA,35.995155,-78.92308833,9/11/19 04:00,Duke Campus
189,99,86a38d1e-99f6-492a-bd80-8f4b2067100a,rf,NA,36.00983833,-78.92366833,9/11/19 04:00,Duke Campus
190,99,a44b4aa7-1531-475d-b470-a8dd46d93ae7,rf,302d7b70-52d6-4a9e-bb7d-243e0d7639c3,36.00986167,-78.923675,9/11/19 04:00,Duke Campus
191,99,ec1e48ac-a95f-49b8-b30c-c787e2beb015,rf,302d7b70-52d6-4a9e-bb7d-243e0d7639c3,36.00982333,-78.92359167,9/11/19 04:00,Duke Campus
192,82,79d4f265-5a14-4590-bedd-ca6d530bdeac,rf,NA,36.009105,-78.92208167,9/11/19 04:00,Duke Campus
193,63,167c5d34-fbe9-49a7-ab03-52e4c64cd49f,rf,NA,36.009605,-78.92208833,9/11/19 04:00,Duke Campus
194,62,8e68d206-8e5b-46f8-a9fa-b7a5428120ce,rf,NA,36.01523167,-78.92771167,9/11/19 04:00,Duke Campus
195,63,18eb600a-c20c-4c5d-be3f-3b0bd816cfeb,rf,NA,36.01118167,-78.92194333,9/11/19 04:00,Duke Campus
196,43,858fcc3f-393e-4890-b063-4d337ba4ec73,rf,NA,36.0065,-78.91893,9/11/19 04:00,Duke Campus
197,33,743d629a-324a-46c9-8613-486dfd0321f6,rf,NA,36.009975,-78.920295,9/11/19 04:00,Duke Campus
